PING 12.1.105.18 (12.1.105.18) 56(84) bytes of data.
64 bytes from 12.1.105.18: icmp_seq=1 ttl=42 time=3.65 ms
64 bytes from 12.1.105.18: icmp_seq=2 ttl=42 time=1.85 ms
64 bytes from 12.1.105.18: icmp_seq=3 ttl=42 time=1.82 ms
64 bytes from 12.1.105.18: icmp_seq=4 ttl=42 time=1.99 ms
64 bytes from 12.1.105.18: icmp_seq=5 ttl=42 time=1.81 ms
64 bytes from 12.1.105.18: icmp_seq=6 ttl=42 time=1.83 ms
64 bytes from 12.1.105.18: icmp_seq=7 ttl=42 time=2.93 ms
64 bytes from 12.1.105.18: icmp_seq=8 ttl=42 time=1.83 ms
64 bytes from 12.1.105.18: icmp_seq=9 ttl=42 time=3.31 ms
64 bytes from 12.1.105.18: icmp_seq=10 ttl=42 time=1.86 ms
64 bytes from 12.1.105.18: icmp_seq=11 ttl=42 time=144 ms
64 bytes from 12.1.105.18: icmp_seq=12 ttl=42 time=92.7 ms
64 bytes from 12.1.105.18: icmp_seq=13 ttl=42 time=103 ms
64 bytes from 12.1.105.18: icmp_seq=14 ttl=42 time=164 ms
64 bytes from 12.1.105.18: icmp_seq=15 ttl=42 time=74.4 ms
64 bytes from 12.1.105.18: icmp_seq=16 ttl=42 time=1.20 ms
64 bytes from 12.1.105.18: icmp_seq=17 ttl=42 time=128 ms
64 bytes from 12.1.105.18: icmp_seq=18 ttl=42 time=135 ms
64 bytes from 12.1.105.18: icmp_seq=19 ttl=42 time=129 ms
64 bytes from 12.1.105.18: icmp_seq=20 ttl=42 time=1.96 ms
64 bytes from 12.1.105.18: icmp_seq=21 ttl=42 time=5.03 ms
64 bytes from 12.1.105.18: icmp_seq=22 ttl=42 time=0.891 ms
64 bytes from 12.1.105.18: icmp_seq=23 ttl=42 time=0.827 ms
64 bytes from 12.1.105.18: icmp_seq=24 ttl=42 time=1.08 ms
64 bytes from 12.1.105.18: icmp_seq=25 ttl=42 time=0.804 ms
64 bytes from 12.1.105.18: icmp_seq=26 ttl=42 time=0.854 ms
64 bytes from 12.1.105.18: icmp_seq=27 ttl=42 time=0.845 ms
64 bytes from 12.1.105.18: icmp_seq=28 ttl=42 time=0.836 ms
64 bytes from 12.1.105.18: icmp_seq=29 ttl=42 time=1.01 ms
64 bytes from 12.1.105.18: icmp_seq=30 ttl=42 time=1.06 ms
64 bytes from 12.1.105.18: icmp_seq=31 ttl=42 time=0.810 ms
64 bytes from 12.1.105.18: icmp_seq=32 ttl=42 time=2.81 ms
64 bytes from 12.1.105.18: icmp_seq=33 ttl=42 time=0.745 ms
64 bytes from 12.1.105.18: icmp_seq=34 ttl=42 time=0.808 ms
64 bytes from 12.1.105.18: icmp_seq=35 ttl=42 time=2.49 ms
64 bytes from 12.1.105.18: icmp_seq=36 ttl=42 time=1.01 ms
64 bytes from 12.1.105.18: icmp_seq=37 ttl=42 time=1.75 ms
64 bytes from 12.1.105.18: icmp_seq=38 ttl=42 time=2.82 ms
64 bytes from 12.1.105.18: icmp_seq=39 ttl=42 time=97.6 ms
64 bytes from 12.1.105.18: icmp_seq=40 ttl=42 time=155 ms
64 bytes from 12.1.105.18: icmp_seq=41 ttl=42 time=150 ms
64 bytes from 12.1.105.18: icmp_seq=42 ttl=42 time=1.86 ms
64 bytes from 12.1.105.18: icmp_seq=43 ttl=42 time=1.05 ms
64 bytes from 12.1.105.18: icmp_seq=44 ttl=42 time=0.730 ms
64 bytes from 12.1.105.18: icmp_seq=45 ttl=42 time=0.791 ms
64 bytes from 12.1.105.18: icmp_seq=46 ttl=42 time=1.18 ms
64 bytes from 12.1.105.18: icmp_seq=47 ttl=42 time=0.817 ms
64 bytes from 12.1.105.18: icmp_seq=48 ttl=42 time=0.829 ms
64 bytes from 12.1.105.18: icmp_seq=49 ttl=42 time=1.70 ms
64 bytes from 12.1.105.18: icmp_seq=50 ttl=42 time=1.08 ms
64 bytes from 12.1.105.18: icmp_seq=51 ttl=42 time=24.4 ms
64 bytes from 12.1.105.18: icmp_seq=52 ttl=42 time=25.1 ms
