PING 12.1.192.66 (12.1.192.66) 56(84) bytes of data.
64 bytes from 12.1.192.66: icmp_seq=1 ttl=58 time=59.5 ms
64 bytes from 12.1.192.66: icmp_seq=2 ttl=58 time=13.4 ms
64 bytes from 12.1.192.66: icmp_seq=3 ttl=58 time=9.57 ms
64 bytes from 12.1.192.66: icmp_seq=4 ttl=58 time=2.87 ms
64 bytes from 12.1.192.66: icmp_seq=5 ttl=58 time=27.4 ms
64 bytes from 12.1.192.66: icmp_seq=6 ttl=58 time=8.37 ms
64 bytes from 12.1.192.66: icmp_seq=7 ttl=58 time=4.21 ms
64 bytes from 12.1.192.66: icmp_seq=8 ttl=58 time=51.7 ms
64 bytes from 12.1.192.66: icmp_seq=9 ttl=58 time=4.80 ms
64 bytes from 12.1.192.66: icmp_seq=10 ttl=58 time=3.96 ms
64 bytes from 12.1.192.66: icmp_seq=11 ttl=58 time=17.3 ms
64 bytes from 12.1.192.66: icmp_seq=12 ttl=58 time=12.6 ms
64 bytes from 12.1.192.66: icmp_seq=13 ttl=58 time=12.9 ms
64 bytes from 12.1.192.66: icmp_seq=14 ttl=58 time=21.4 ms
64 bytes from 12.1.192.66: icmp_seq=15 ttl=58 time=11.8 ms
64 bytes from 12.1.192.66: icmp_seq=16 ttl=58 time=1.71 ms
64 bytes from 12.1.192.66: icmp_seq=17 ttl=58 time=16.1 ms
64 bytes from 12.1.192.66: icmp_seq=18 ttl=58 time=24.2 ms
64 bytes from 12.1.192.66: icmp_seq=19 ttl=58 time=9.52 ms
64 bytes from 12.1.192.66: icmp_seq=20 ttl=58 time=7.69 ms
64 bytes from 12.1.192.66: icmp_seq=21 ttl=58 time=1.62 ms
64 bytes from 12.1.192.66: icmp_seq=22 ttl=58 time=15.7 ms
64 bytes from 12.1.192.66: icmp_seq=23 ttl=58 time=11.9 ms
64 bytes from 12.1.192.66: icmp_seq=24 ttl=58 time=1.27 ms
64 bytes from 12.1.192.66: icmp_seq=25 ttl=58 time=11.9 ms
64 bytes from 12.1.192.66: icmp_seq=26 ttl=58 time=15.5 ms
64 bytes from 12.1.192.66: icmp_seq=27 ttl=58 time=23.1 ms
64 bytes from 12.1.192.66: icmp_seq=28 ttl=58 time=27.5 ms
64 bytes from 12.1.192.66: icmp_seq=29 ttl=58 time=1.78 ms
64 bytes from 12.1.192.66: icmp_seq=30 ttl=58 time=1.19 ms
64 bytes from 12.1.192.66: icmp_seq=31 ttl=58 time=21.5 ms
64 bytes from 12.1.192.66: icmp_seq=32 ttl=58 time=0.961 ms
64 bytes from 12.1.192.66: icmp_seq=33 ttl=58 time=2.05 ms
64 bytes from 12.1.192.66: icmp_seq=34 ttl=58 time=4.97 ms
64 bytes from 12.1.192.66: icmp_seq=35 ttl=58 time=1.06 ms
64 bytes from 12.1.192.66: icmp_seq=36 ttl=58 time=7.91 ms
64 bytes from 12.1.192.66: icmp_seq=37 ttl=58 time=19.0 ms
64 bytes from 12.1.192.66: icmp_seq=38 ttl=58 time=1.71 ms
64 bytes from 12.1.192.66: icmp_seq=39 ttl=58 time=1.87 ms
64 bytes from 12.1.192.66: icmp_seq=40 ttl=58 time=16.9 ms
64 bytes from 12.1.192.66: icmp_seq=41 ttl=58 time=15.0 ms
64 bytes from 12.1.192.66: icmp_seq=42 ttl=58 time=5.40 ms
64 bytes from 12.1.192.66: icmp_seq=43 ttl=58 time=0.889 ms
64 bytes from 12.1.192.66: icmp_seq=44 ttl=58 time=25.4 ms
64 bytes from 12.1.192.66: icmp_seq=45 ttl=58 time=15.9 ms
64 bytes from 12.1.192.66: icmp_seq=46 ttl=58 time=0.907 ms
64 bytes from 12.1.192.66: icmp_seq=47 ttl=58 time=5.14 ms
64 bytes from 12.1.192.66: icmp_seq=48 ttl=58 time=8.38 ms
64 bytes from 12.1.192.66: icmp_seq=49 ttl=58 time=3.72 ms
64 bytes from 12.1.192.66: icmp_seq=50 ttl=58 time=1.20 ms
64 bytes from 12.1.192.66: icmp_seq=51 ttl=58 time=12.5 ms
64 bytes from 12.1.192.66: icmp_seq=52 ttl=58 time=10.2 ms
