gs0-eth0	172.16.6.45
s1-eth1565	None
sat911-eth6	10.1.22.225
gs0-eth1	10.1.22.226
gs1-eth0	172.16.6.46
s1-eth1566	None
sat587-eth5	10.0.176.177
gs1-eth1	10.0.176.178
gs2-eth0	172.16.6.47
s1-eth1567	None
sat1363-eth5	10.1.156.1
gs2-eth1	10.1.156.2
gs3-eth0	172.16.6.48
s1-eth1568	None
sat1465-eth6	10.1.186.193
gs3-eth1	10.1.186.194
gs4-eth0	172.16.6.49
s1-eth1569	None
sat1205-eth5	10.1.109.97
gs4-eth1	10.1.109.98
gs5-eth0	172.16.6.50
s1-eth1570	None
sat430-eth5	10.0.130.145
gs5-eth1	10.0.130.146
gs6-eth0	172.16.6.51
s1-eth1571	None
sat1260-eth6	10.1.125.209
gs6-eth1	10.1.125.210
gs7-eth0	172.16.6.52
s1-eth1572	None
sat1432-eth6	10.1.176.225
gs7-eth1	10.1.176.226
gs8-eth0	172.16.6.53
s1-eth1573	None
sat963-eth5	10.1.38.17
gs8-eth1	10.1.38.18
gs9-eth0	172.16.6.54
s1-eth1574	None
sat6-eth5	10.0.8.193
gs9-eth1	10.0.8.194
gs10-eth0	172.16.6.55
s1-eth1575	None
sat632-eth5	10.0.189.225
gs10-eth1	10.0.189.226
gs11-eth0	172.16.6.56
s1-eth1576	None
sat1164-eth5	10.1.97.17
gs11-eth1	10.1.97.18
gs12-eth0	172.16.6.57
s1-eth1577	None
sat1350-eth5	10.1.152.97
gs12-eth1	10.1.152.98
gs13-eth0	172.16.6.58
s1-eth1578	None
sat632-eth6	10.0.190.1
gs13-eth1	10.0.190.2
gs14-eth0	172.16.6.59
s1-eth1579	None
sat878-eth5	10.1.13.1
gs14-eth1	10.1.13.2
gs15-eth0	172.16.6.60
s1-eth1580	None
sat1319-eth5	10.1.143.49
gs15-eth1	10.1.143.50
gs16-eth0	172.16.6.61
s1-eth1581	None
sat931-eth5	10.1.28.193
gs16-eth1	10.1.28.194
gs17-eth0	172.16.6.62
s1-eth1582	None
sat1431-eth5	10.1.176.129
gs17-eth1	10.1.176.130
gs18-eth0	172.16.6.63
s1-eth1583	None
sat1465-eth7	10.1.186.209
gs18-eth1	10.1.186.210
gs19-eth0	172.16.6.64
s1-eth1584	None
sat740-eth5	10.0.222.81
gs19-eth1	10.0.222.82
gs20-eth0	172.16.6.65
s1-eth1585	None
sat292-eth7	10.0.89.209
gs20-eth1	10.0.89.210
gs21-eth0	172.16.6.66
s1-eth1586	None
sat681-eth5	10.0.204.193
gs21-eth1	10.0.204.194
gs22-eth0	172.16.6.67
s1-eth1587	None
sat1033-eth5	10.1.58.97
gs22-eth1	10.1.58.98
gs23-eth0	172.16.6.68
s1-eth1588	None
sat811-eth6	10.0.243.113
gs23-eth1	10.0.243.114
gs24-eth0	172.16.6.69
s1-eth1589	None
sat700-eth5	10.0.210.129
gs24-eth1	10.0.210.130
gs25-eth0	172.16.6.70
s1-eth1590	None
sat740-eth6	10.0.222.97
gs25-eth1	10.0.222.98
gs26-eth0	172.16.6.71
s1-eth1591	None
sat1439-eth5	10.1.178.209
gs26-eth1	10.1.178.210
gs27-eth0	172.16.6.72
s1-eth1592	None
sat499-eth6	10.0.151.65
gs27-eth1	10.0.151.66
gs28-eth0	172.16.6.73
s1-eth1593	None
sat1258-eth5	10.1.125.17
gs28-eth1	10.1.125.18
gs29-eth0	172.16.6.74
s1-eth1594	None
sat646-eth5	10.0.194.81
gs29-eth1	10.0.194.82
gs30-eth0	172.16.6.75
s1-eth1595	None
sat1276-eth5	10.1.130.113
gs30-eth1	10.1.130.114
gs31-eth0	172.16.6.76
s1-eth1596	None
sat1364-eth5	10.1.156.113
gs31-eth1	10.1.156.114
gs32-eth0	172.16.6.77
s1-eth1597	None
sat1448-eth6	10.1.181.129
gs32-eth1	10.1.181.130
gs33-eth0	172.16.6.78
s1-eth1598	None
sat1395-eth5	10.1.165.225
gs33-eth1	10.1.165.226
gs34-eth0	172.16.6.79
s1-eth1599	None
sat1189-eth5	10.1.104.129
gs34-eth1	10.1.104.130
gs35-eth0	172.16.6.80
s1-eth1600	None
sat658-eth5	10.0.197.225
gs35-eth1	10.0.197.226
gs36-eth0	172.16.6.81
s1-eth1601	None
sat1259-eth6	10.1.125.113
gs36-eth1	10.1.125.114
gs37-eth0	172.16.6.82
s1-eth1602	None
sat1543-eth5	10.1.209.129
gs37-eth1	10.1.209.130
gs38-eth0	172.16.6.83
s1-eth1603	None
sat608-eth6	10.0.183.17
gs38-eth1	10.0.183.18
gs39-eth0	172.16.6.84
s1-eth1604	None
sat501-eth5	10.0.151.225
gs39-eth1	10.0.151.226
gs40-eth0	172.16.6.85
s1-eth1605	None
sat779-eth5	10.0.234.17
gs40-eth1	10.0.234.18
gs41-eth0	172.16.6.86
s1-eth1606	None
sat708-eth5	10.0.212.209
gs41-eth1	10.0.212.210
gs42-eth0	172.16.6.87
s1-eth1607	None
sat740-eth7	10.0.222.113
gs42-eth1	10.0.222.114
gs43-eth0	172.16.6.88
s1-eth1608	None
sat779-eth6	10.0.234.33
gs43-eth1	10.0.234.34
gs44-eth0	172.16.6.89
s1-eth1609	None
sat572-eth5	10.0.172.65
