gs0-eth0	172.16.6.23
s1-eth1543	None
sat357-eth5	10.0.124.129
gs0-eth1	10.0.124.130
gs1-eth0	172.16.6.24
s1-eth1544	None
sat108-eth5	10.0.41.177
gs1-eth1	10.0.41.178
gs2-eth0	172.16.6.25
s1-eth1545	None
sat1303-eth8	10.1.181.33
gs2-eth1	10.1.181.34
gs3-eth0	172.16.6.26
s1-eth1546	None
sat1320-eth5	10.1.187.17
gs3-eth1	10.1.187.18
gs4-eth0	172.16.6.27
s1-eth1547	None
sat1034-eth6	10.1.93.161
gs4-eth1	10.1.93.162
gs5-eth0	172.16.6.28
s1-eth1548	None
sat328-eth5	10.0.115.33
gs5-eth1	10.0.115.34
gs6-eth0	172.16.6.29
s1-eth1549	None
sat1336-eth5	10.1.191.209
gs6-eth1	10.1.191.210
gs7-eth0	172.16.6.30
s1-eth1550	None
sat330-eth5	10.0.115.225
gs7-eth1	10.0.115.226
gs8-eth0	172.16.6.31
s1-eth1551	None
sat895-eth6	10.1.47.81
gs8-eth1	10.1.47.82
gs9-eth0	172.16.6.32
s1-eth1552	None
sat931-eth5	10.1.59.49
gs9-eth1	10.1.59.50
gs10-eth0	172.16.6.33
s1-eth1553	None
sat242-eth5	10.0.86.113
gs10-eth1	10.0.86.114
gs11-eth0	172.16.6.34
s1-eth1554	None
sat1033-eth6	10.1.93.49
gs11-eth1	10.1.93.50
gs12-eth0	172.16.6.35
s1-eth1555	None
sat305-eth5	10.0.107.145
gs12-eth1	10.0.107.146
gs13-eth0	172.16.6.36
s1-eth1556	None
sat204-eth7	10.0.73.225
gs13-eth1	10.0.73.226
gs14-eth0	172.16.6.37
s1-eth1557	None
sat978-eth10	10.1.74.177
gs14-eth1	10.1.74.178
gs15-eth0	172.16.6.38
s1-eth1558	None
sat266-eth7	10.0.94.81
gs15-eth1	10.0.94.82
gs16-eth0	172.16.6.39
s1-eth1559	None
sat698-eth5	10.0.232.161
gs16-eth1	10.0.232.162
gs17-eth0	172.16.6.40
s1-eth1560	None
sat372-eth5	10.0.129.65
gs17-eth1	10.0.129.66
gs18-eth0	172.16.6.41
s1-eth1561	None
sat1347-eth5	10.1.195.97
gs18-eth1	10.1.195.98
gs19-eth0	172.16.6.42
s1-eth1562	None
sat1214-eth5	10.1.152.161
gs19-eth1	10.1.152.162
gs20-eth0	172.16.6.43
s1-eth1563	None
sat873-eth7	10.1.40.97
gs20-eth1	10.1.40.98
gs21-eth0	172.16.6.44
s1-eth1564	None
sat1138-eth5	10.1.126.177
gs21-eth1	10.1.126.178
gs22-eth0	172.16.6.45
s1-eth1565	None
sat1526-eth5	10.2.2.113
gs22-eth1	10.2.2.114
gs23-eth0	172.16.6.46
s1-eth1566	None
sat1336-eth6	10.1.191.225
gs23-eth1	10.1.191.226
gs24-eth0	172.16.6.47
s1-eth1567	None
sat933-eth8	10.1.60.49
gs24-eth1	10.1.60.50
gs25-eth0	172.16.6.48
s1-eth1568	None
sat1258-eth5	10.1.166.97
gs25-eth1	10.1.166.98
gs26-eth0	172.16.6.49
s1-eth1569	None
sat1112-eth6	10.1.118.145
gs26-eth1	10.1.118.146
gs27-eth0	172.16.6.50
s1-eth1570	None
sat1135-eth5	10.1.125.209
gs27-eth1	10.1.125.210
gs28-eth0	172.16.6.51
s1-eth1571	None
sat1035-eth5	10.1.94.33
gs28-eth1	10.1.94.34
gs29-eth0	172.16.6.52
s1-eth1572	None
sat302-eth5	10.0.106.145
gs29-eth1	10.0.106.146
gs30-eth0	172.16.6.53
s1-eth1573	None
sat1035-eth6	10.1.94.49
gs30-eth1	10.1.94.50
gs31-eth0	172.16.6.54
s1-eth1574	None
sat1370-eth8	10.1.203.1
gs31-eth1	10.1.203.2
gs32-eth0	172.16.6.55
s1-eth1575	None
sat1126-eth6	10.1.123.17
gs32-eth1	10.1.123.18
gs33-eth0	172.16.6.56
s1-eth1576	None
sat357-eth6	10.0.124.145
gs33-eth1	10.0.124.146
gs34-eth0	172.16.6.57
s1-eth1577	None
sat685-eth5	10.0.228.113
gs34-eth1	10.0.228.114
gs35-eth0	172.16.6.58
s1-eth1578	None
sat274-eth6	10.0.97.81
gs35-eth1	10.0.97.82
gs36-eth0	172.16.6.59
s1-eth1579	None
sat1051-eth7	10.1.99.65
gs36-eth1	10.1.99.66
gs37-eth0	172.16.6.60
s1-eth1580	None
sat867-eth6	10.1.38.113
gs37-eth1	10.1.38.114
gs38-eth0	172.16.6.61
s1-eth1581	None
sat1070-eth6	10.1.105.81
gs38-eth1	10.1.105.82
gs39-eth0	172.16.6.62
s1-eth1582	None
sat15-eth5	10.0.11.177
gs39-eth1	10.0.11.178
gs40-eth0	172.16.6.63
s1-eth1583	None
sat292-eth5	10.0.103.113
gs40-eth1	10.0.103.114
gs41-eth0	172.16.6.64
s1-eth1584	None
sat266-eth8	10.0.94.97
gs41-eth1	10.0.94.98
gs42-eth0	172.16.6.65
s1-eth1585	None
sat1258-eth6	10.1.166.113
gs42-eth1	10.1.166.114
gs43-eth0	172.16.6.66
s1-eth1586	None
sat1303-eth9	10.1.181.49
gs43-eth1	10.1.181.50
gs44-eth0	172.16.6.67
s1-eth1587	None
sat1033-eth7	10.1.93.65
gs44-eth1	10.1.93.66
gs45-eth0	172.16.6.68
s1-eth1588	None
sat1214-eth6	10.1.152.177
gs45-eth1	10.1.152.178
gs46-eth0	172.16.6.69
s1-eth1589	None
sat1158-eth5	10.1.133.97
gs46-eth1	10.1.133.98
gs47-eth0	172.16.6.70
s1-eth1590	None
sat1214-eth7	10.1.152.193
gs47-eth1	10.1.152.194
gs48-eth0	172.16.6.71
s1-eth1591	None
sat1109-eth7	10.1.117.129
gs48-eth1	10.1.117.130
gs49-eth0	172.16.6.72
s1-eth1592	None
sat954-eth5	10.1.66.209
gs49-eth1	10.1.66.210
gs50-eth0	172.16.6.73
s1-eth1593	None
sat1276-eth6	10.1.172.33
gs50-eth1	10.1.172.34
gs51-eth0	172.16.6.74
s1-eth1594	None
sat1303-eth10	10.1.181.65
gs51-eth1	10.1.181.66
gs52-eth0	172.16.6.75
s1-eth1595	None
sat955-eth5	10.1.67.49
gs52-eth1	10.1.67.50
gs53-eth0	172.16.6.76
s1-eth1596	None
sat1403-eth5	10.1.214.33
gs53-eth1	10.1.214.34
gs54-eth0	172.16.6.77
s1-eth1597	None
sat829-eth5	10.1.25.81
gs54-eth1	10.1.25.82
gs55-eth0	172.16.6.78
s1-eth1598	None
sat244-eth5	10.0.87.49
gs55-eth1	10.0.87.50
