Sun 13 Mar 16:24:53 GMT 2022
PING 10.0.172.146 (10.0.172.146) 56(84) bytes of data.
64 bytes from 10.0.172.146: icmp_seq=1 ttl=51 time=330 ms
64 bytes from 10.0.172.146: icmp_seq=2 ttl=51 time=105 ms
64 bytes from 10.0.172.146: icmp_seq=3 ttl=51 time=286 ms
64 bytes from 10.0.172.146: icmp_seq=4 ttl=51 time=159 ms
64 bytes from 10.0.172.146: icmp_seq=5 ttl=51 time=98.5 ms
64 bytes from 10.0.172.146: icmp_seq=6 ttl=51 time=104 ms
64 bytes from 10.0.172.146: icmp_seq=7 ttl=51 time=102 ms
64 bytes from 10.0.172.146: icmp_seq=8 ttl=51 time=98.5 ms
64 bytes from 10.0.172.146: icmp_seq=9 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=10 ttl=51 time=138 ms
64 bytes from 10.0.172.146: icmp_seq=11 ttl=51 time=322 ms
64 bytes from 10.0.172.146: icmp_seq=12 ttl=51 time=218 ms
64 bytes from 10.0.172.146: icmp_seq=13 ttl=51 time=146 ms
64 bytes from 10.0.172.146: icmp_seq=14 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=15 ttl=51 time=96.5 ms
64 bytes from 10.0.172.146: icmp_seq=16 ttl=51 time=99.9 ms
64 bytes from 10.0.172.146: icmp_seq=17 ttl=51 time=172 ms
64 bytes from 10.0.172.146: icmp_seq=18 ttl=51 time=105 ms
64 bytes from 10.0.172.146: icmp_seq=19 ttl=51 time=105 ms
64 bytes from 10.0.172.146: icmp_seq=20 ttl=51 time=98.8 ms
64 bytes from 10.0.172.146: icmp_seq=21 ttl=51 time=97.0 ms
64 bytes from 10.0.172.146: icmp_seq=22 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=23 ttl=51 time=102 ms
64 bytes from 10.0.172.146: icmp_seq=24 ttl=51 time=200 ms
64 bytes from 10.0.172.146: icmp_seq=25 ttl=51 time=106 ms
64 bytes from 10.0.172.146: icmp_seq=26 ttl=51 time=123 ms
64 bytes from 10.0.172.146: icmp_seq=27 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=28 ttl=51 time=96.2 ms
64 bytes from 10.0.172.146: icmp_seq=29 ttl=51 time=121 ms
64 bytes from 10.0.172.146: icmp_seq=30 ttl=51 time=113 ms
64 bytes from 10.0.172.146: icmp_seq=31 ttl=51 time=99.5 ms
64 bytes from 10.0.172.146: icmp_seq=32 ttl=51 time=120 ms
64 bytes from 10.0.172.146: icmp_seq=33 ttl=51 time=249 ms
64 bytes from 10.0.172.146: icmp_seq=34 ttl=51 time=204 ms
64 bytes from 10.0.172.146: icmp_seq=35 ttl=51 time=140 ms
64 bytes from 10.0.172.146: icmp_seq=36 ttl=51 time=111 ms
64 bytes from 10.0.172.146: icmp_seq=37 ttl=51 time=101 ms
64 bytes from 10.0.172.146: icmp_seq=38 ttl=51 time=108 ms
64 bytes from 10.0.172.146: icmp_seq=39 ttl=51 time=96.5 ms
64 bytes from 10.0.172.146: icmp_seq=40 ttl=51 time=96.6 ms
64 bytes from 10.0.172.146: icmp_seq=41 ttl=51 time=111 ms
64 bytes from 10.0.172.146: icmp_seq=42 ttl=51 time=388 ms
64 bytes from 10.0.172.146: icmp_seq=43 ttl=51 time=105 ms
64 bytes from 10.0.172.146: icmp_seq=44 ttl=51 time=106 ms
64 bytes from 10.0.172.146: icmp_seq=45 ttl=51 time=135 ms
64 bytes from 10.0.172.146: icmp_seq=46 ttl=51 time=128 ms
64 bytes from 10.0.172.146: icmp_seq=47 ttl=51 time=103 ms
64 bytes from 10.0.172.146: icmp_seq=48 ttl=51 time=102 ms
64 bytes from 10.0.172.146: icmp_seq=49 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=50 ttl=51 time=96.1 ms
64 bytes from 10.0.172.146: icmp_seq=51 ttl=51 time=139 ms
64 bytes from 10.0.172.146: icmp_seq=52 ttl=51 time=302 ms
64 bytes from 10.0.172.146: icmp_seq=53 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=54 ttl=51 time=97.9 ms
64 bytes from 10.0.172.146: icmp_seq=55 ttl=51 time=101 ms
64 bytes from 10.0.172.146: icmp_seq=56 ttl=51 time=375 ms
64 bytes from 10.0.172.146: icmp_seq=57 ttl=51 time=122 ms
64 bytes from 10.0.172.146: icmp_seq=58 ttl=51 time=98.9 ms
64 bytes from 10.0.172.146: icmp_seq=59 ttl=51 time=231 ms
64 bytes from 10.0.172.146: icmp_seq=60 ttl=51 time=109 ms
64 bytes from 10.0.172.146: icmp_seq=61 ttl=51 time=108 ms
64 bytes from 10.0.172.146: icmp_seq=62 ttl=51 time=114 ms
64 bytes from 10.0.172.146: icmp_seq=63 ttl=51 time=99.7 ms
64 bytes from 10.0.172.146: icmp_seq=64 ttl=51 time=96.2 ms
64 bytes from 10.0.172.146: icmp_seq=65 ttl=51 time=346 ms
64 bytes from 10.0.172.146: icmp_seq=66 ttl=51 time=104 ms
64 bytes from 10.0.172.146: icmp_seq=67 ttl=51 time=108 ms
64 bytes from 10.0.172.146: icmp_seq=68 ttl=51 time=179 ms
64 bytes from 10.0.172.146: icmp_seq=69 ttl=51 time=137 ms
64 bytes from 10.0.172.146: icmp_seq=70 ttl=51 time=310 ms
64 bytes from 10.0.172.146: icmp_seq=71 ttl=51 time=97.4 ms
64 bytes from 10.0.172.146: icmp_seq=72 ttl=51 time=109 ms
64 bytes from 10.0.172.146: icmp_seq=73 ttl=51 time=377 ms
64 bytes from 10.0.172.146: icmp_seq=74 ttl=51 time=96.4 ms
64 bytes from 10.0.172.146: icmp_seq=75 ttl=51 time=102 ms
64 bytes from 10.0.172.146: icmp_seq=76 ttl=51 time=110 ms
64 bytes from 10.0.172.146: icmp_seq=77 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=78 ttl=51 time=97.4 ms
64 bytes from 10.0.172.146: icmp_seq=79 ttl=51 time=190 ms
64 bytes from 10.0.172.146: icmp_seq=80 ttl=51 time=102 ms
64 bytes from 10.0.172.146: icmp_seq=81 ttl=51 time=101 ms
