Mon 14 Mar 16:06:07 GMT 2022
PING 10.1.74.178 (10.1.74.178) 56(84) bytes of data.
64 bytes from 10.1.74.178: icmp_seq=1 ttl=24 time=1075 ms
64 bytes from 10.1.74.178: icmp_seq=2 ttl=24 time=227 ms
64 bytes from 10.1.74.178: icmp_seq=3 ttl=24 time=220 ms
64 bytes from 10.1.74.178: icmp_seq=4 ttl=24 time=221 ms
64 bytes from 10.1.74.178: icmp_seq=5 ttl=24 time=307 ms
64 bytes from 10.1.74.178: icmp_seq=6 ttl=24 time=261 ms
64 bytes from 10.1.74.178: icmp_seq=7 ttl=24 time=245 ms
64 bytes from 10.1.74.178: icmp_seq=8 ttl=24 time=379 ms
64 bytes from 10.1.74.178: icmp_seq=9 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=10 ttl=24 time=234 ms
64 bytes from 10.1.74.178: icmp_seq=11 ttl=24 time=353 ms
64 bytes from 10.1.74.178: icmp_seq=12 ttl=24 time=235 ms
64 bytes from 10.1.74.178: icmp_seq=13 ttl=24 time=448 ms
64 bytes from 10.1.74.178: icmp_seq=14 ttl=24 time=490 ms
64 bytes from 10.1.74.178: icmp_seq=15 ttl=24 time=238 ms
64 bytes from 10.1.74.178: icmp_seq=16 ttl=24 time=467 ms
64 bytes from 10.1.74.178: icmp_seq=17 ttl=24 time=299 ms
64 bytes from 10.1.74.178: icmp_seq=18 ttl=24 time=336 ms
64 bytes from 10.1.74.178: icmp_seq=19 ttl=24 time=330 ms
64 bytes from 10.1.74.178: icmp_seq=20 ttl=24 time=442 ms
64 bytes from 10.1.74.178: icmp_seq=21 ttl=24 time=244 ms
64 bytes from 10.1.74.178: icmp_seq=22 ttl=24 time=246 ms
64 bytes from 10.1.74.178: icmp_seq=23 ttl=24 time=323 ms
64 bytes from 10.1.74.178: icmp_seq=24 ttl=24 time=468 ms
64 bytes from 10.1.74.178: icmp_seq=25 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=26 ttl=24 time=238 ms
64 bytes from 10.1.74.178: icmp_seq=27 ttl=24 time=234 ms
64 bytes from 10.1.74.178: icmp_seq=28 ttl=24 time=219 ms
64 bytes from 10.1.74.178: icmp_seq=29 ttl=24 time=232 ms
64 bytes from 10.1.74.178: icmp_seq=30 ttl=24 time=229 ms
64 bytes from 10.1.74.178: icmp_seq=31 ttl=24 time=226 ms
64 bytes from 10.1.74.178: icmp_seq=32 ttl=24 time=217 ms
64 bytes from 10.1.74.178: icmp_seq=33 ttl=24 time=218 ms
64 bytes from 10.1.74.178: icmp_seq=34 ttl=24 time=216 ms
64 bytes from 10.1.74.178: icmp_seq=35 ttl=24 time=220 ms
64 bytes from 10.1.74.178: icmp_seq=36 ttl=24 time=228 ms
64 bytes from 10.1.74.178: icmp_seq=37 ttl=24 time=221 ms
64 bytes from 10.1.74.178: icmp_seq=38 ttl=24 time=220 ms
64 bytes from 10.1.74.178: icmp_seq=39 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=40 ttl=24 time=220 ms
64 bytes from 10.1.74.178: icmp_seq=41 ttl=24 time=242 ms
64 bytes from 10.1.74.178: icmp_seq=42 ttl=24 time=232 ms
64 bytes from 10.1.74.178: icmp_seq=43 ttl=24 time=230 ms
64 bytes from 10.1.74.178: icmp_seq=44 ttl=24 time=225 ms
64 bytes from 10.1.74.178: icmp_seq=45 ttl=24 time=226 ms
64 bytes from 10.1.74.178: icmp_seq=46 ttl=24 time=232 ms
