PING 10.1.74.178 (10.1.74.178) 56(84) bytes of data.
64 bytes from 10.1.74.178: icmp_seq=1 ttl=24 time=579 ms
64 bytes from 10.1.74.178: icmp_seq=2 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=3 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=4 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=5 ttl=24 time=339 ms
64 bytes from 10.1.74.178: icmp_seq=6 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=7 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=8 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=9 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=10 ttl=24 time=281 ms
64 bytes from 10.1.74.178: icmp_seq=11 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=12 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=13 ttl=24 time=258 ms
64 bytes from 10.1.74.178: icmp_seq=14 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=15 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=16 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=17 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=18 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=19 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=20 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=21 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=22 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=23 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=24 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=25 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=26 ttl=24 time=260 ms
64 bytes from 10.1.74.178: icmp_seq=27 ttl=24 time=260 ms
64 bytes from 10.1.74.178: icmp_seq=28 ttl=24 time=260 ms
64 bytes from 10.1.74.178: icmp_seq=29 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=30 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=31 ttl=24 time=249 ms
64 bytes from 10.1.74.178: icmp_seq=32 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=33 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=34 ttl=24 time=259 ms
64 bytes from 10.1.74.178: icmp_seq=35 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=36 ttl=24 time=274 ms
64 bytes from 10.1.74.178: icmp_seq=37 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=38 ttl=24 time=237 ms
64 bytes from 10.1.74.178: icmp_seq=39 ttl=24 time=276 ms
64 bytes from 10.1.74.178: icmp_seq=40 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=41 ttl=24 time=275 ms
64 bytes from 10.1.74.178: icmp_seq=42 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=43 ttl=24 time=258 ms
64 bytes from 10.1.74.178: icmp_seq=44 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=45 ttl=24 time=258 ms
